file,kind,old_id,new_id
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.80_a035fad8,flashcard_part_deck_10.00_a035fad8
assets/json/parts/deck.json,part,part_deck_1.90,part_deck_11.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.90_a0d9f850,flashcard_part_deck_11.00_a0d9f850
assets/json/parts/deck.json,part,part_deck_2.10,part_deck_12.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.10_6ddb87d8,flashcard_part_deck_12.00_6ddb87d8
assets/json/parts/deck.json,part,part_deck_2.20,part_deck_13.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.20_1b23dacc,flashcard_part_deck_13.00_1b23dacc
assets/json/parts/deck.json,part,part_deck_2.30,part_deck_14.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.30_88565710,flashcard_part_deck_14.00_88565710
assets/json/parts/deck.json,part,part_deck_2.40,part_deck_15.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.40_d5f05c37,flashcard_part_deck_15.00_d5f05c37
assets/json/parts/deck.json,part,part_deck_2.50,part_deck_16.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.50_b6a6ee8d,flashcard_part_deck_16.00_b6a6ee8d
assets/json/parts/deck.json,part,part_deck_2.60,part_deck_17.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_2.60_d42fc816,flashcard_part_deck_17.00_d42fc816
assets/json/parts/interior.json,part,part_intr_1.10,part_intr_03.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.10_c0aaccf3,flashcard_part_intr_03.00_c0aaccf3
assets/json/parts/interior.json,part,part_intr_1.20,part_intr_04.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.20_b5b92461,flashcard_part_intr_04.00_b5b92461
assets/json/parts/interior.json,part,part_intr_1.30,part_intr_05.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.30_7894e431,flashcard_part_intr_05.00_7894e431
assets/json/parts/interior.json,part,part_intr_1.40,part_intr_06.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.40_5f0a55b3,flashcard_part_intr_06.00_5f0a55b3
assets/json/parts/interior.json,part,part_intr_1.50,part_intr_07.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.50_cb78853a,flashcard_part_intr_07.00_cb78853a
assets/json/parts/interior.json,part,part_intr_1.60,part_intr_08.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.60_e0446b31,flashcard_part_intr_08.00_e0446b31
assets/json/parts/interior.json,part,part_intr_1.70,part_intr_09.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.70_fa04c8bd,flashcard_part_intr_09.00_fa04c8bd
assets/json/parts/interior.json,part,part_intr_1.80,part_intr_10.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.80_b94cedbe,flashcard_part_intr_10.00_b94cedbe
assets/json/parts/interior.json,part,part_intr_1.90,part_intr_11.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_1.90_f02165fe,flashcard_part_intr_11.00_f02165fe
assets/json/parts/interior.json,part,part_intr_2.05,part_intr_12.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.05_072bed3e,flashcard_part_intr_12.00_072bed3e
assets/json/parts/interior.json,part,part_intr_2.10,part_intr_13.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.10_df39d8df,flashcard_part_intr_13.00_df39d8df
assets/json/parts/interior.json,part,part_intr_2.20,part_intr_14.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.20_f9d4ce4b,flashcard_part_intr_14.00_f9d4ce4b
assets/json/parts/interior.json,part,part_intr_2.30,part_intr_15.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.30_06a1e936,flashcard_part_intr_15.00_06a1e936
assets/json/parts/interior.json,part,part_intr_2.40,part_intr_16.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.40_d22cd1fe,flashcard_part_intr_16.00_d22cd1fe
assets/json/parts/interior.json,part,part_intr_2.50,part_intr_17.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.50_354005e5,flashcard_part_intr_17.00_354005e5
assets/json/parts/interior.json,part,part_intr_2.60,part_intr_18.00
assets/json/parts/interior.json,flashcard,flashcard_part_intr_2.60_97f975f5,flashcard_part_intr_18.00_97f975f5
assets/json/parts/sails.json,part,part_sail_1.10,part_sail_03.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.10_f2d651ea,flashcard_part_sail_03.00_f2d651ea
assets/json/parts/sails.json,part,part_sail_1.20,part_sail_04.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.20_34386018,flashcard_part_sail_04.00_34386018
assets/json/parts/sails.json,part,part_sail_1.30,part_sail_05.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.30_2b1474c2,flashcard_part_sail_05.00_2b1474c2
assets/json/parts/sails.json,part,part_sail_1.40,part_sail_06.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.40_e12a8887,flashcard_part_sail_06.00_e12a8887
assets/json/parts/sails.json,part,part_sail_1.50,part_sail_07.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.50_adc7310c,flashcard_part_sail_07.00_adc7310c
assets/json/parts/sails.json,part,part_sail_1.60,part_sail_08.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.60_d8d8b064,flashcard_part_sail_08.00_d8d8b064
assets/json/parts/sails.json,part,part_sail_1.70,part_sail_09.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.70_ff749f35,flashcard_part_sail_09.00_ff749f35
assets/json/parts/sails.json,part,part_sail_1.80,part_sail_10.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.80_6ab3ff4b,flashcard_part_sail_10.00_6ab3ff4b
assets/json/parts/sails.json,part,part_sail_1.90,part_sail_11.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_1.90_29ee5fe0,flashcard_part_sail_11.00_29ee5fe0
assets/json/parts/sails.json,part,part_sail_2.10,part_sail_12.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.10_8192ea9c,flashcard_part_sail_12.00_8192ea9c
assets/json/parts/sails.json,part,part_sail_2.20,part_sail_13.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.20_8c655292,flashcard_part_sail_13.00_8c655292
assets/json/parts/sails.json,part,part_sail_2.30,part_sail_14.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.30_264b7ec9,flashcard_part_sail_14.00_264b7ec9
assets/json/parts/sails.json,part,part_sail_2.40,part_sail_15.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.40_55d114b1,flashcard_part_sail_15.00_55d114b1
assets/json/parts/sails.json,part,part_sail_2.50,part_sail_16.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.50_744355c5,flashcard_part_sail_16.00_744355c5
assets/json/parts/sails.json,part,part_sail_2.60,part_sail_17.00
assets/json/parts/sails.json,flashcard,flashcard_part_sail_2.60_195a84ec,flashcard_part_sail_17.00_195a84ec
assets/json/tools/navigation.json,tool,tool_gps_1.10,tool_gps_02.00
assets/json/tools/navigation.json,flashcard,flashcard_tool_gps_1.10_e4e1b4f5,flashcard_tool_gps_02.00_e4e1b4f5
assets/json/tools/engine.json,tool,tool_mot_1.10,tool_mot_02.00
assets/json/tools/engine.json,flashcard,flashcard_tool_mot_1.10_1ac909eb,flashcard_tool_mot_02.00_1ac909eb
assets/json/tools/colregs.json,tool,tool_rules_1.10,tool_rules_02.00
assets/json/tools/colregs.json,flashcard,flashcard_tool_rules_1.10_e5692016,flashcard_tool_rules_02.00_e5692016
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.20,lesson_safety_04.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.30,lesson_safety_05.00
assets/json/paths/competent_crew.json,path_item,part_hull_1.10,part_hull_03.00
assets/json/paths/competent_crew.json,path_item,part_hull_1.20,part_hull_04.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.10,lesson_safety_03.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.80,lesson_safety_11.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.70,lesson_safety_10.00
assets/json/paths/competent_crew.json,path_item,part_rigg_1.20,part_rigg_03.00
assets/json/paths/competent_crew.json,path_item,lesson_knot_1.10,lesson_knot_03.00
assets/json/paths/competent_crew.json,path_item,lesson_knot_1.20,lesson_knot_04.00
assets/json/paths/competent_crew.json,path_item,lesson_knot_1.30,lesson_knot_05.00
assets/json/paths/competent_crew.json,path_item,lesson_knot_1.50,lesson_knot_07.00
assets/json/paths/competent_crew.json,path_item,lesson_knot_1.60,lesson_knot_08.00
assets/json/paths/competent_crew.json,path_item,tool_mot_1.10,tool_mot_02.00
assets/json/paths/competent_crew.json,path_item,part_sail_1.20,part_sail_04.00
assets/json/paths/competent_crew.json,path_item,part_rigg_1.80,part_rigg_09.00
assets/json/paths/competent_crew.json,path_item,part_sail_1.50,part_sail_07.00
assets/json/paths/competent_crew.json,path_item,part_sail_1.60,part_sail_08.00
assets/json/paths/competent_crew.json,path_item,part_sail_1.70,part_sail_09.00
assets/json/paths/competent_crew.json,path_item,part_rigg_1.90,part_rigg_10.00
assets/json/paths/competent_crew.json,path_item,part_sail_2.20,part_sail_13.00
assets/json/paths/competent_crew.json,path_item,tool_rules_1.10,tool_rules_02.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.40,lesson_safety_07.00
assets/json/paths/competent_crew.json,path_item,part_sail_2.10,part_sail_12.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_2.50,lesson_safety_17.00
assets/json/paths/competent_crew.json,path_item,lesson_safety_1.80,lesson_safety_11.00
